BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
3,7399,11,2308 EAST 15 STREET,586.0,2004,1.0,3.0,3120,52.0,20.0,C0,2000,100.0,20.0,0,3120,0,0,0,0,0,3.0,3,2001,,,false,2,1.56,0.9,,6,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.7333333333333334,2003,1.2,2001,0
3,8824,60,2337 STUART STREET,632.0,2000,1.0,3.0,1929,40.0,16.0,B1,2400,100.0,24.0,0,1929,0,0,0,0,0,2.0,2,2002,,,false,1,0.8,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.888888888888889,2003,0.34,1899,1
4,903,33,26-02 12 STREET,91.0,1003,1.0,3.0,4290,78.0,20.0,C0,4592,150.55,30.5,0,4290,0,0,0,0,0,3.0,3,2002,,,false,2,0.93,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0333333333333334,2003,0.25,1890,1
4,2391,36,46-24 66 STREET,243.0,4005,1.0,3.0,4050,50.0,27.0,C0,4000,100.0,40.0,0,4050,0,0,0,0,0,3.0,3,2001,,,false,2,1.01,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1222222222222222,2003,,2001,0
3,7366,11,2114 FORD STREET,570.0,4002,1.0,3.0,3000,50.0,20.0,A9,2000,100.0,20.0,0,3000,0,0,0,0,0,1.0,1,2003,,,false,1,1.5,0.9,,5,R4,,,,C1-2,2017,21,0.75,0.15,0.0,1.0,2.0,0.9,0.75,1.75,1.9,1.75,2.9,2.75,3.75,3.75,1.6666666666666665,2004,0.54,1910,1
3,7372,22,2238 HOMECREST AVENUE,584.0,2000,1.0,2.0,5204,72.0,26.0,A3,4800,120.0,40.0,0,5204,0,0,0,0,0,1.0,1,2003,,,false,1,1.08,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2,2004,0.38,1920,1
3,8914,50,101 BEACON COURT,628.0,4003,1.0,2.0,3000,30.0,50.0,A1,3600,45.0,80.0,0,3000,0,0,0,0,0,1.0,1,2003,,,false,1,0.83,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.9222222222222222,2004,0.31,1925,1
2,4683,1,963 EAST 212 STREET,368.0,2000,1.0,3.0,2193,53.0,24.0,B1,2160,80.0,27.0,0,2193,0,0,0,0,0,2.0,2,2002,,,false,1,1.02,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1333333333333333,2004,0.12,1901,1
4,887,38,18-12 25 ROAD,91.0,2004,1.0,3.0,10056,38.0,60.0,C1,4961,116.67,40.58,0,10056,0,0,0,0,0,10.0,10,2001,,,true,2,2.03,0.9,,5,R4,R6B,,,C1-3,2017,21,0.75,0.15,0.0,1.0,2.0,0.9,0.75,1.75,1.9,1.75,2.9,2.75,3.75,3.75,2.255555555555555,2004,0.6,2001,0
4,888,13,18-15 25 ROAD,91.0,2003,1.0,3.0,2808,52.0,18.0,C0,2100,100.0,21.0,0,2808,0,0,0,0,0,3.0,3,2001,,,false,2,1.34,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.488888888888889,2004,1.1,2001,0
